survived,pclass,sex,age,fare,embarked,class,who,adult_male,embark_town,alive,alone
1,1,female,35,512.3292,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,male,36,512.3292,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,male,35,512.3292,C,First,man,TRUE,Cherbourg,yes,TRUE
0,1,male,19,263,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,23,263,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,24,263,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,64,263,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,18,262.375,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,21,262.375,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,24,247.5208,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,50,247.5208,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,42,227.525,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,30,227.525,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,18,227.525,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,38,227.525,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,30,221.7792,S,First,man,TRUE,Southampton,no,TRUE
0,1,male,27,211.5,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,15,211.3375,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,29,211.3375,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,43,211.3375,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,31,164.8667,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,45,164.8667,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,58,153.4625,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,38,153.4625,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,40,153.4625,S,First,woman,FALSE,Southampton,yes,TRUE
0,1,female,2,151.55,S,First,child,FALSE,Southampton,no,FALSE
1,1,male,0.92,151.55,S,First,child,FALSE,Southampton,yes,FALSE
0,1,female,25,151.55,S,First,woman,FALSE,Southampton,no,FALSE
1,1,female,22,151.55,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,30,146.5208,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,58,146.5208,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,35,135.6333,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,36,135.6333,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,22,135.6333,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,40,134.5,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,41,134.5,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,30,133.65,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,50,133.65,S,First,man,TRUE,Southampton,yes,FALSE
1,1,male,36,120,S,First,man,TRUE,Southampton,yes,FALSE
1,1,female,14,120,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,36,120,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,11,120,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,31,113.275,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,23,113.275,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,58,113.275,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,110.8833,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,male,17,110.8833,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,female,39,110.8833,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,49,110.8833,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,17,108.9,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,18,108.9,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,106.425,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,50,106.425,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,93.5,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,52,93.5,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,19,91.0792,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,male,25,91.0792,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,male,38,90,S,First,man,TRUE,Southampton,yes,FALSE
0,1,male,44,90,Q,First,man,TRUE,Queenstown,no,FALSE
1,1,female,33,90,Q,First,woman,FALSE,Queenstown,yes,FALSE
1,1,female,35,90,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,49,89.1042,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,female,30,89.1042,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,30,86.5,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,16,86.5,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,33,86.5,S,First,woman,FALSE,Southampton,yes,TRUE
0,1,male,45,83.475,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,35,83.475,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,24,83.1583,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,39,83.1583,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,56,83.1583,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,30,82.1708,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,82.1708,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,male,4,81.8583,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,38,80,S,First,woman,FALSE,,yes,TRUE
1,1,female,62,80,S,First,woman,FALSE,,yes,TRUE
0,1,male,52,79.65,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,39,79.65,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,18,79.65,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,24,79.2,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,30,79.2,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,male,60,79.2,C,First,man,TRUE,Cherbourg,yes,FALSE
0,1,male,46,79.2,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,26,78.85,S,First,woman,FALSE,Southampton,yes,TRUE
0,1,male,36,78.85,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,54,78.2667,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,52,78.2667,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,63,77.9583,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,21,77.9583,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,51,77.9583,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,21,77.2875,S,First,man,TRUE,Southampton,no,FALSE
0,1,male,54,77.2875,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,49,76.7292,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,male,48,76.7292,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,male,27,76.7292,C,First,man,TRUE,Cherbourg,yes,TRUE
1,1,female,32,76.2917,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,60,75.25,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,2,male,21,73.5,S,Second,man,TRUE,Southampton,no,TRUE
0,2,male,21,73.5,S,Second,man,TRUE,Southampton,no,FALSE
0,2,male,18,73.5,S,Second,man,TRUE,Southampton,no,TRUE
0,2,male,24,73.5,S,Second,man,TRUE,Southampton,no,FALSE
0,2,male,32,73.5,S,Second,man,TRUE,Southampton,no,FALSE
1,1,female,38,71.2833,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,36,71,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,70,71,S,First,man,TRUE,Southampton,no,FALSE
0,3,male,30,69.55,S,Third,man,TRUE,Southampton,no,FALSE
0,3,female,30,69.55,S,Third,woman,FALSE,Southampton,no,FALSE
1,1,female,24,69.3,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,22,66.6,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,29,66.6,S,First,man,TRUE,Southampton,no,FALSE
1,2,female,24,65,S,Second,woman,FALSE,Southampton,yes,FALSE
1,2,female,48,65,S,Second,woman,FALSE,Southampton,yes,FALSE
1,1,male,23,63.3583,C,First,man,TRUE,Cherbourg,yes,FALSE
0,1,male,65,61.9792,C,First,man,TRUE,Cherbourg,no,FALSE
0,1,male,51,61.3792,C,First,man,TRUE,Cherbourg,no,FALSE
0,1,male,46,61.175,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,54,59.4,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,16,57.9792,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,44,57.9792,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,male,31,57,S,First,man,TRUE,Southampton,yes,FALSE
1,1,female,17,57,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,30,56.9292,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,male,49,56.9292,C,First,man,TRUE,Cherbourg,yes,FALSE
1,3,male,32,56.4958,S,Third,man,TRUE,Southampton,yes,TRUE
0,3,male,28,56.4958,S,Third,man,TRUE,Southampton,no,TRUE
1,3,male,26,56.4958,S,Third,man,TRUE,Southampton,yes,TRUE
1,3,male,30,56.4958,S,Third,man,TRUE,Southampton,yes,TRUE
0,3,male,30,56.4958,S,Third,man,TRUE,Southampton,no,TRUE
0,1,male,50,55.9,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,39,55.9,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,25,55.4417,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,female,30,55,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,22,55,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,35,53.1,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,37,53.1,S,First,man,TRUE,Southampton,no,FALSE
1,1,male,27,53.1,S,First,man,TRUE,Southampton,yes,FALSE
0,1,male,19,53.1,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,33,53.1,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,37,52.5542,S,First,man,TRUE,Southampton,yes,FALSE
1,1,male,42,52.5542,S,First,man,TRUE,Southampton,yes,FALSE
1,1,female,47,52.5542,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,42,52,S,First,man,TRUE,Southampton,no,FALSE
0,1,male,47,52,S,First,man,TRUE,Southampton,no,TRUE
1,1,female,35,52,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,30,52,S,First,man,TRUE,Southampton,no,TRUE
1,1,female,30,52,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,31,52,S,First,man,TRUE,Southampton,no,FALSE
1,1,male,48,52,S,First,man,TRUE,Southampton,yes,FALSE
0,1,male,54,51.8625,S,First,man,TRUE,Southampton,no,TRUE
1,1,female,30,51.8625,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,53,51.4792,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,31,50.4958,S,First,man,TRUE,Southampton,no,TRUE
0,1,male,30,50,S,First,man,TRUE,Southampton,no,TRUE
0,1,male,71,49.5042,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,24,49.5042,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,22,49.5,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,28,47.1,S,First,man,TRUE,Southampton,no,TRUE
0,3,male,11,46.9,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,30,46.9,S,Third,woman,FALSE,Southampton,no,FALSE
0,3,male,1,46.9,S,Third,child,FALSE,Southampton,no,FALSE
0,3,male,9,46.9,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,43,46.9,S,Third,woman,FALSE,Southampton,no,FALSE
0,3,male,14,46.9,S,Third,child,FALSE,Southampton,no,FALSE
0,1,male,30,42.4,S,First,man,TRUE,Southampton,no,TRUE
1,2,female,3,41.5792,C,Second,child,FALSE,Cherbourg,yes,FALSE
1,2,female,22,41.5792,C,Second,woman,FALSE,Cherbourg,yes,FALSE
0,2,male,25,41.5792,C,Second,man,TRUE,Cherbourg,no,FALSE
0,1,male,36,40.125,C,First,man,TRUE,Cherbourg,no,TRUE
0,3,male,7,39.6875,S,Third,child,FALSE,Southampton,no,FALSE
0,3,male,1,39.6875,S,Third,child,FALSE,Southampton,no,FALSE
0,3,male,16,39.6875,S,Third,man,TRUE,Southampton,no,FALSE
0,3,female,41,39.6875,S,Third,woman,FALSE,Southampton,no,FALSE
0,3,male,14,39.6875,S,Third,child,FALSE,Southampton,no,FALSE
0,3,male,2,39.6875,S,Third,child,FALSE,Southampton,no,FALSE
1,1,female,48,39.6,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,30,39.6,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,16,39.4,S,First,woman,FALSE,Southampton,yes,FALSE
1,2,male,1,39,S,Second,child,FALSE,Southampton,yes,FALSE
1,2,female,4,39,S,Second,child,FALSE,Southampton,yes,FALSE
1,2,female,40,39,S,Second,woman,FALSE,Southampton,yes,FALSE
0,2,male,60,39,S,Second,man,TRUE,Southampton,no,FALSE
0,1,male,47,38.5,S,First,man,TRUE,Southampton,no,TRUE
0,2,male,31,37.0042,C,Second,man,TRUE,Cherbourg,no,FALSE
1,2,male,1,37.0042,C,Second,child,FALSE,Cherbourg,yes,FALSE
0,2,male,19,36.75,S,Second,man,TRUE,Southampton,no,FALSE
1,2,male,8,36.75,S,Second,child,FALSE,Southampton,yes,FALSE
1,1,male,28,35.5,S,First,man,TRUE,Southampton,yes,TRUE
1,1,male,30,35.5,S,First,man,TRUE,Southampton,yes,TRUE
0,1,male,45,35.5,S,First,man,TRUE,Southampton,no,TRUE
1,1,male,56,35.5,C,First,man,TRUE,Cherbourg,yes,TRUE
0,1,male,30,35,S,First,man,TRUE,Southampton,no,TRUE
0,1,male,71,34.6542,C,First,man,TRUE,Cherbourg,no,TRUE
0,3,male,16,34.375,S,Third,man,TRUE,Southampton,no,FALSE
0,3,female,9,34.375,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,21,34.375,S,Third,woman,FALSE,Southampton,no,FALSE
0,3,female,48,34.375,S,Third,woman,FALSE,Southampton,no,FALSE
0,1,male,47,34.0208,S,First,man,TRUE,Southampton,no,TRUE
0,1,male,61,33.5,S,First,man,TRUE,Southampton,no,TRUE
1,2,female,30,33,S,Second,woman,FALSE,Southampton,yes,TRUE
1,2,female,6,33,S,Second,child,FALSE,Southampton,yes,FALSE
0,2,male,28,33,S,Second,man,TRUE,Southampton,no,FALSE
1,2,female,34,32.5,S,Second,woman,FALSE,Southampton,yes,FALSE
0,1,male,61,32.3208,S,First,man,TRUE,Southampton,no,TRUE
1,3,female,38,31.3875,S,Third,woman,FALSE,Southampton,yes,FALSE
0,3,male,9,31.3875,S,Third,child,FALSE,Southampton,no,FALSE
1,3,female,5,31.3875,S,Third,child,FALSE,Southampton,yes,FALSE
1,3,male,3,31.3875,S,Third,child,FALSE,Southampton,yes,FALSE
0,3,male,39,31.275,S,Third,man,TRUE,Southampton,no,FALSE
0,3,female,2,31.275,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,9,31.275,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,11,31.275,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,39,31.275,S,Third,woman,FALSE,Southampton,no,FALSE
0,3,female,6,31.275,S,Third,child,FALSE,Southampton,no,FALSE
0,3,male,4,31.275,S,Third,child,FALSE,Southampton,no,FALSE
1,1,male,40,31,C,First,man,TRUE,Cherbourg,yes,TRUE
0,1,male,30,31,S,First,man,TRUE,Southampton,no,TRUE
1,1,female,30,31,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,56,30.6958,C,First,man,TRUE,Cherbourg,no,TRUE
0,1,male,30,30.6958,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,male,30,30.5,S,First,man,TRUE,Southampton,yes,TRUE
1,1,male,52,30.5,S,First,man,TRUE,Southampton,yes,TRUE
0,1,male,55,30.5,S,First,man,TRUE,Southampton,no,TRUE
1,1,male,27,30.5,S,First,man,TRUE,Southampton,yes,TRUE
1,1,male,32,30.5,C,First,man,TRUE,Cherbourg,yes,TRUE
1,2,female,14,30.0708,C,Second,child,FALSE,Cherbourg,yes,FALSE
0,2,male,32.5,30.0708,C,Second,man,TRUE,Cherbourg,no,FALSE
1,2,female,25,30,S,Second,woman,FALSE,Southampton,yes,FALSE
1,1,male,80,30,S,First,man,TRUE,Southampton,yes,TRUE
1,1,male,30,30,S,First,man,TRUE,Southampton,yes,TRUE
0,1,male,29,30,S,First,man,TRUE,Southampton,no,TRUE
1,1,female,19,30,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,male,26,30,C,First,man,TRUE,Cherbourg,yes,TRUE
0,1,male,37,29.7,C,First,man,TRUE,Cherbourg,no,FALSE
0,1,male,58,29.7,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,male,30,29.7,C,First,man,TRUE,Cherbourg,yes,TRUE
0,3,male,2,29.125,Q,Third,child,FALSE,Queenstown,no,FALSE
0,3,male,4,29.125,Q,Third,child,FALSE,Queenstown,no,FALSE
0,3,male,7,29.125,Q,Third,child,FALSE,Queenstown,no,FALSE
0,3,male,8,29.125,Q,Third,child,FALSE,Queenstown,no,FALSE
0,3,female,39,29.125,Q,Third,woman,FALSE,Queenstown,no,FALSE
1,2,male,0.83,29,S,Second,child,FALSE,Southampton,yes,FALSE
1,2,female,22,29,S,Second,woman,FALSE,Southampton,yes,FALSE
0,1,female,50,28.7125,C,First,woman,FALSE,Cherbourg,no,TRUE
0,1,male,45.5,28.5,S,First,man,TRUE,Southampton,no,TRUE
0,3,male,4,27.9,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,45,27.9,S,Third,woman,FALSE,Southampton,no,FALSE
0,3,male,40,27.9,S,Third,man,TRUE,Southampton,no,FALSE
0,3,female,9,27.9,S,Third,child,FALSE,Southampton,no,FALSE
0,3,female,2,27.9,S,Third,child,FALSE,Southampton,no,FALSE
0,3,male,10,27.9,S,Third,child,FALSE,Southampton,no,FALSE
1,2,female,5,27.75,S,Second,child,FALSE,Southampton,yes,FALSE
0,2,male,36,27.75,S,Second,man,TRUE,Southampton,no,FALSE
0,1,male,30,27.75,C,First,man,TRUE,Cherbourg,no,TRUE
1,2,female,33,27.75,S,Second,woman,FALSE,Southampton,yes,FALSE
0,1,male,40,27.7208,C,First,man,TRUE,Cherbourg,no,TRUE
0,1,male,30,27.7208,C,First,man,TRUE,Cherbourg,no,TRUE
